Run: 91210000 	Subrun: 58 	Number of background events: 6 	Processes: QS, QS, QS, DeltaPPi, DeltaPPi, DeltaPPi
Run: 91210011 	Subrun: 38 	Number of background events: 6 	Processes: QS, QS, OtherResonance, OtherResonance, DIS, DIS
Run: 91210013 	Subrun: 11 	Number of background events: 6 	Processes: QS, QS, QS, DIS, OtherResonance, DeltaPPi
Run: 91210012 	Subrun: 64 	Number of background events: 6 	Processes: DeltaPPi, OtherResonance, DIS, DIS, DIS, DIS
Run: 91210010 	Subrun: 55 	Number of background events: 6 	Processes: QS, OtherResonance, DIS, DIS, DIS, DIS
Run: 91210001 	Subrun: 37 	Number of background events: 6 	Processes: QS, OtherResonance, OtherResonance, OtherResonance, DIS, DIS
Run: 91210001 	Subrun: 90 	Number of background events: 6 	Processes: QS, OtherResonance, OtherResonance, OtherResonance, OtherResonance, DIS
Run: 91210000 	Subrun: 71 	Number of background events: 6 	Processes: QS, QS, OtherResonance, OtherResonance, DIS, DIS
Run: 91210006 	Subrun: 24 	Number of background events: 6 	Processes: QS, QS, OtherResonance, OtherResonance, OtherResonance, DIS
Run: 91210002 	Subrun: 109 	Number of background events: 6 	Processes: QS, QS, OtherResonance, OtherResonance, OtherResonance, DIS
Run: 91210006 	Subrun: 57 	Number of background events: 6 	Processes: QS, QS, DeltaPPi, DIS, DIS, DIS
Run: 91210009 	Subrun: 73 	Number of background events: 6 	Processes: QS, QS, OtherResonance, OtherResonance, ES, DIS
Run: 91210007 	Subrun: 99 	Number of background events: 6 	Processes: QS, QS, OtherResonance, ES, DeltaPPi, DeltaPPi
Run: 91210009 	Subrun: 19 	Number of background events: 6 	Processes: QS, QS, DIS, OtherResonance, OtherResonance, DeltaPPi
Run: 91210010 	Subrun: 85 	Number of background events: 6 	Processes: QS, QS, DIS, DIS, DIS, DIS
Run: 91210008 	Subrun: 48 	Number of background events: 6 	Processes: QS, QS, QS, OtherResonance, DIS, DIS
Run: 91210002 	Subrun: 56 	Number of background events: 6 	Processes: QS, QS, QS, OtherResonance, OtherResonance, DIS
Run: 91210007 	Subrun: 43 	Number of background events: 6 	Processes: QS, QS, QS, OtherResonance, OtherResonance, DIS
Run: 91210013 	Subrun: 56 	Number of background events: 6 	Processes: QS, QS, DIS, DIS, DIS, DIS
Run: 91210004 	Subrun: 15 	Number of background events: 6 	Processes: QS, OtherResonance, ES, ES, DIS, DIS
Run: 91210011 	Subrun: 79 	Number of background events: 6 	Processes: QS, QS, QS, QS, OtherResonance, OtherResonance
Run: 91210002 	Subrun: 83 	Number of background events: 6 	Processes: QS, QS, QS, QS, DIS, DIS
Run: 91210013 	Subrun: 34 	Number of background events: 6 	Processes: QS, QS, OtherResonance, DIS, DIS, DIS
Run: 91210003 	Subrun: 2 	Number of background events: 6 	Processes: QS, QS, OtherResonance, OtherResonance, OtherResonance, DIS
Run: 91210001 	Subrun: 82 	Number of background events: 6 	Processes: QS, QS, QS, OtherResonance, DIS, DIS
Run: 91210011 	Subrun: 8 	Number of background events: 6 	Processes: QS, OtherResonance, OtherResonance, ES, DIS, DIS
Run: 91210010 	Subrun: 35 	Number of background events: 6 	Processes: QS, OtherResonance, OtherResonance, DIS, DIS, DIS
Run: 91210003 	Subrun: 39 	Number of background events: 6 	Processes: QS, QS, OtherResonance, OtherResonance, OtherResonance, ES
Run: 91210000 	Subrun: 31 	Number of background events: 6 	Processes: QS, QS, OtherResonance, ES, ES, DIS
Run: 91210013 	Subrun: 86 	Number of background events: 6 	Processes: QS, QS, OtherResonance, DIS, DIS, DIS
Run: 91210007 	Subrun: 108 	Number of background events: 6 	Processes: QS, QS, OtherResonance, OtherResonance, DIS, DIS
Run: 91210007 	Subrun: 54 	Number of background events: 6 	Processes: QS, QS, QS, OtherResonance, C, DIS
Run: 91210003 	Subrun: 104 	Number of background events: 6 	Processes: QS, OtherResonance, OtherResonance, DIS, DIS, DIS
Run: 91210013 	Subrun: 35 	Number of background events: 6 	Processes: QS, QS, OtherResonance, ES, DIS, DIS
Run: 91210003 	Subrun: 4 	Number of background events: 6 	Processes: QS, QS, OtherResonance, OtherResonance, OtherResonance, ES
Run: 91210002 	Subrun: 98 	Number of background events: 6 	Processes: QS, QS, QS, QS, OtherResonance, OtherResonance
Run: 91210007 	Subrun: 17 	Number of background events: 6 	Processes: QS, ES, ES, DIS, DIS, DIS
Run: 91210005 	Subrun: 49 	Number of background events: 6 	Processes: QS, QS, OtherResonance, DIS, DIS, DIS
Run: 91210012 	Subrun: 30 	Number of background events: 6 	Processes: QS, QS, OtherResonance, DIS, DIS, DIS
Run: 91210009 	Subrun: 69 	Number of background events: 6 	Processes: QS, QS, QS, QS, QS, DIS
Run: 91210005 	Subrun: 34 	Number of background events: 6 	Processes: QS, OtherResonance, OtherResonance, OtherResonance, OtherResonance, ES
Run: 91210002 	Subrun: 31 	Number of background events: 6 	Processes: QS, QS, QS, DIS, DIS, DIS
Run: 91210003 	Subrun: 26 	Number of background events: 6 	Processes: C, DeltaPPi, OtherResonance, OtherResonance, DIS, DIS
